doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	judgment_code	justice_kind	category_code	status	exclude_reason
135443485	990SСGС/41/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/67/abab0714c0286961d049babf954d43aa.rtf	9951	2	4		1	likely_vp_appellate_admin_case
135443486	990/183/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/14197c4bfffa8e26bec10def3659519a.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
135443484	990/395/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/797f4939131860b5109f65973b64f8b3.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
135479320	990SСGС/48/25	2026-04-02 00:00:00+03	2026-04-07 00:00:00+03	2026-04-08 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/67/2416c7f6ff4c6792ffc2b21d0b36cf0e.rtf	9951	2	4		1	likely_vp_appellate_admin_case
135577422	990/153/25	2026-04-08 00:00:00+03	2026-04-10 00:00:00+03	2026-04-13 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/67/5b7d4eaa6269114f3a745cab0fda6d16.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
135577424	990/166/25	2026-04-08 00:00:00+03	2026-04-10 00:00:00+03	2026-04-13 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/67/eec45a5f9edea48acecbd53428414c87.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
135623900	990/56/25	2026-04-08 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/3e50d91d2b8cfaaa8fc76a7968b771b6.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
135623891	990/477/25	2026-04-08 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/1ae19f74c53038e1fa0d6b2b0cd8b2fd.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
135623897	990/434/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/9504fdd92107132980e8d988f066c28b.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
135623898	990/98/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/4e646b284ad16c230877fe26f70a88fe.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
135623901	990/160/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/a7e326d093a6b6e9759ada8d931a6d62.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
135804847	990/219/25	2026-03-26 00:00:00+02	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/8edfe4f7198d31b1b75c112b0fbb43c8.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
135804845	990/165/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/9c9f3917542e620106205b049cf056db.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
135804853	990SСGС/41/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/67/5db125fa8c67c8499ae7c679b5dd2c8b.rtf	9951	2	4		1	likely_vp_appellate_admin_case
135804899	990/490/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/67/ec477358afe2a0a375d3a0aa17265396.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
135804914	990/592/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/67/b25675121952b0be4ce698c15d1fa5fc.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
135804900	990/5/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/ff933c27bdccbbb4a2d6603a87acfd8c.rtf	9951	2	4	40063	1	likely_vp_appellate_admin_case
135804851	990/305/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/501b5971eb46425553bcc7c6af503eb2.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
135804910	990/16/26	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/67/c66812bd33e843c4577413dae75c4ed2.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
135804843	990/214/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/67/ce6fe57e9cfc78f6538e758999f2ead8.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136004944	990/472/25	2026-04-09 00:00:00+03	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/f654596a55ef0dfa59512b598fbdbe9a.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136004947	990/434/25	2026-04-09 00:00:00+03	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/a241c5b7deccf8690626ea8eb70d2b14.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136004945	990SСGС/1/26	2026-04-09 00:00:00+03	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/5eece147de9d7a0526057e7a150c52b3.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136004950	990/98/25	2026-04-09 00:00:00+03	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/880603cd9a97eba6a696e369ea185974.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136045910	990/166/25	2026-04-08 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/82a6ad9b7b0ab275dc04b8c69ed164eb.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136045932	990/5/25	2026-04-16 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/be7a5a12c0deaeb88e4659ed07d5bc39.rtf	9951	2	4	40063	1	likely_vp_appellate_admin_case
136045901	990/226/25	2026-03-26 00:00:00+02	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/b4f616be477e2cef56cae070ae18ec80.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
136045926	990/555/25	2026-04-16 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/22a2d2198346093fa406155ec6e32326.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
136045920	9901/212/21	2026-04-02 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/b46e5afa84e5c7d41a67b93e07185ed7.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
136045897	990/228/25	2026-04-01 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/737096fcf7a393a9bb1ab4c1a6feb41b.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136045912	990/153/25	2026-04-08 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/2fe3fba8f06b15139a8135b40a401fbb.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136045917	990SСGС/48/25	2026-04-02 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/d28a49302be2b92e12bdab36051aca37.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136114481	990/224/23	2026-04-28 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/f68ef60ef67ba96eea585c5d78b90fdb.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
136149463	990/183/25	2026-04-02 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/2873a27b6b9525ad834cab000b21f1eb.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136149461	990/326/25	2026-04-02 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/abc1f5b1a6ad4d6303608aded5f12de9.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
136237099	990/341/23	2026-04-30 00:00:00+03	2026-05-05 00:00:00+03	2026-05-06 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/399c8ec9b968f4aa274dd0cc93a19094.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
136237083	990/52/24	2026-04-30 00:00:00+03	2026-05-05 00:00:00+03	2026-05-06 00:00:00+03	Мартинюк Наталія Миколаївна	https://od.reyestr.court.gov.ua/files/68/6e44fa6bb2699d0fa47983bd32379278.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
136237102	990/254/24	2026-04-30 00:00:00+03	2026-05-05 00:00:00+03	2026-05-06 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/c3054352dffd71bd931ca3f7f18faf9e.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
136237098	990/32/24	2026-04-30 00:00:00+03	2026-05-05 00:00:00+03	2026-05-06 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/65abebd3c4b8f5b30c8a7d62526759a6.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136318856	990/143/25	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/55debc2428e2ff26d22794541b82413d.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136318863	990/465/25	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Мартинюк Наталія Миколаївна	https://od.reyestr.court.gov.ua/files/68/97404a06b4758c755727bd030cac34c4.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136318859	990SСGС/53/25	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/65bed405ac59d51c1e5312930c28dd1a.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136392506	990/152/25	2026-04-30 00:00:00+03	2026-05-11 00:00:00+03	2026-05-12 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/ed3954ce3a19c50db2d33bb4bd448e3b.rtf	9951	2	4	40070	1	likely_vp_appellate_admin_case
136392507	990/231/25	2026-04-30 00:00:00+03	2026-05-11 00:00:00+03	2026-05-12 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/3ce47015ec78ad8eabbd1490f3018524.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136428130	990/482/25	2026-05-07 00:00:00+03	2026-05-12 00:00:00+03	2026-05-13 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/5308f28e0be592d71ff18a142d3e5a72.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136544747	990/550/25	2026-05-13 00:00:00+03	2026-05-15 00:00:00+03	2026-05-18 00:00:00+03	Мартинюк Наталія Миколаївна	https://od.reyestr.court.gov.ua/files/68/61ef65a5269156d7a283f013b8825898.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136544737	990/598/25	2026-05-07 00:00:00+03	2026-05-15 00:00:00+03	2026-05-18 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/9029b14ae89adb9d20610542284adbbb.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
136544734	990/46/26	2026-05-07 00:00:00+03	2026-05-15 00:00:00+03	2026-05-18 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/e6341ab3162146b5ce28d254fd63a76f.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136588260	990/481/25	2026-04-30 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/a1810b9e1f285ddb81c007a36bc239ea.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136588263	990/254/24	2026-04-30 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/fd1a042f7fdcbcd358581d1cc1b3ca6c.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
136588259	990/160/25	2026-04-09 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/00850f1dceca81d48570f249bf957be9.rtf	9951	2	4	40071	1	likely_vp_appellate_admin_case
136588268	990/32/24	2026-04-30 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/a6a2321104eee1f54b371f8ec1e9fea1.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136588261	990/347/24	2026-04-29 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/747dbdd47aa9d1b6c57dbb5e6e43d827.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136588272	990/143/25	2026-05-05 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/8676bebd4bae2949102f0c2bb9095685.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136588273	990/192/24	2026-05-14 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/b161053b02d52450029a4568fb522b28.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136627827	990/294/25	2026-05-14 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/f4a56e326095e8977defd384248a9118.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136627826	990SСGС/32/25	2026-05-14 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/f6d746d47a86a3266deeec78d9cb7210.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136784635	990/314/25	2026-04-16 00:00:00+03	2026-05-25 00:00:00+03	2026-05-26 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/33fd4b1d636a69d8ff7ee12ebd0931db.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136784633	990/51/24	2026-05-14 00:00:00+03	2026-05-25 00:00:00+03	2026-05-26 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/4a01d32052280ec721002b0774aa4d97.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136901077	990/341/23	2026-04-30 00:00:00+03	2026-05-28 00:00:00+03	2026-05-29 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/11ca654b81e055b4ed67fd928b2a0ae1.rtf	9951	2	4	40064	1	likely_vp_appellate_admin_case
136901080	990/439/25	2026-05-14 00:00:00+03	2026-05-28 00:00:00+03	2026-05-29 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/5f173176a7cb274f241271d5865b273a.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136901079	9901/459/21	2026-04-30 00:00:00+03	2026-05-28 00:00:00+03	2026-05-29 00:00:00+03	Стрелець Тетяна Геннадіївна	https://od.reyestr.court.gov.ua/files/68/737fbdb9e6539eb4693d0fc8182b3af2.rtf	9951	2	4	12680	1	likely_vp_appellate_admin_case
136901093	990SСGС/53/25	2026-05-05 00:00:00+03	2026-05-28 00:00:00+03	2026-06-01 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/845a69665eaa06be9a3bc999d8a07dd4.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136901088	990/465/25	2026-05-05 00:00:00+03	2026-05-28 00:00:00+03	2026-06-01 00:00:00+03	Мартинюк Наталія Миколаївна	https://od.reyestr.court.gov.ua/files/68/14cca29bc3661a6b78242619be4167a0.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136901096	990SСGС/32/25	2026-05-14 00:00:00+03	2026-05-28 00:00:00+03	2026-06-01 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/4ac31b53e197a76cdffab2faa9df7d43.rtf	9951	2	4		1	likely_vp_appellate_admin_case
136901084	990/294/25	2026-05-14 00:00:00+03	2026-05-28 00:00:00+03	2026-06-01 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/72cd740eb1988231e64c68cc46f1015c.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136901090	990/224/23	2026-04-28 00:00:00+03	2026-05-28 00:00:00+03	2026-06-01 00:00:00+03	Кривенда Олег Вікторович	https://od.reyestr.court.gov.ua/files/68/98d43593a923ef2a68ae49521516527f.rtf	9951	2	4	40059	1	likely_vp_appellate_admin_case
136978486	990/50/26	2026-05-21 00:00:00+03	2026-06-01 00:00:00+03	2026-06-02 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/94225326016775b982352666ed7cbdc5.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136978484	990/61/26	2026-05-21 00:00:00+03	2026-06-01 00:00:00+03	2026-06-02 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/c42e61b6219467e1d37c184c98525ed5.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136978489	990/482/25	2026-05-07 00:00:00+03	2026-06-01 00:00:00+03	2026-06-02 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/5792b87a8ed448168d85d48d07399582.rtf	9951	2	4	40069	1	likely_vp_appellate_admin_case
136978485	990/288/25	2026-05-20 00:00:00+03	2026-06-01 00:00:00+03	2026-06-02 00:00:00+03	Гімон Микола Михайлович	https://od.reyestr.court.gov.ua/files/68/12d54f28453be3ef01e88ad45801a4e8.rtf	9951	2	4	40060	1	likely_vp_appellate_admin_case
136978490	990SСGС/16/25	2026-05-14 00:00:00+03	2026-06-01 00:00:00+03	2026-06-02 00:00:00+03	Губська Олена Анатоліївна	https://od.reyestr.court.gov.ua/files/68/75360fdaf061035b9d01bf40db4ac10a.rtf	9951	2	4		1	likely_vp_appellate_admin_case
